codigo,razon_social,country,es_banco
2282165,Instituição 02282165,BR,False
2282709,Instituição 02282709,BR,False
2285107,Instituição 02285107,BR,False
2309070,Instituição 02309070,BR,False
2318507,Banco KEB Hana do Brasil,BR,True
2332886,XP Investimentos Corretora de Câmbiotítulos e Valores Mobiliários,BR,False
2335109,Instituição 02335109,BR,False
2338666,Instituição 02338666,BR,False
2347114,Instituição 02347114,BR,False
2382755,Instituição 02382755,BR,False
2398976,Sisprime do Brasil - Cooperativa de Crédito,BR,False
2405189,Instituição 02405189,BR,False
2446089,Instituição 02446089,BR,False
2447120,Instituição 02447120,BR,False
2447184,Instituição 02447184,BR,False
2448310,Instituição 02448310,BR,False
2448839,Instituição 02448839,BR,False
2466552,Instituição 02466552,BR,False
2475222,Instituição 02475222,BR,False
2480577,Instituição 02480577,BR,False
2493000,Instituição 02493000,BR,False
2528151,Instituição 02528151,BR,False
2541707,Instituição 02541707,BR,False
2562412,Instituição 02562412,BR,False
2587492,Instituição 02587492,BR,False
2588819,Instituição 02588819,BR,False
2602922,Instituição 02602922,BR,False
2641032,Instituição 02641032,BR,False
2641969,Instituição 02641969,BR,False
2658435,Instituição 02658435,BR,False
2663426,Instituição 02663426,BR,False
2670590,Instituição 02670590,BR,False
2671743,Banvox Distribuidora de Títulos e Valores Mobiliários Ltda,BR,False
2674113,Instituição 02674113,BR,False
2682287,PAN Financeira S.A. - Sociedade de Crédito Financiamento e Investimentos,BR,False
2685483,Cm Capital Markets Corretora de Câmbio Títulos e Valores Mobiliários Ltda,BR,False
2723075,Instituição 02723075,BR,False
2732968,Instituição 02732968,BR,False
2738981,Instituição 02738981,BR,False
2766672,Instituição 02766672,BR,False
2794761,Instituição 02794761,BR,False
2801938,Banco Morgan Stanley,BR,True
2814832,Instituição 02814832,BR,False
2819125,UBS BB Corretora de Câmbio Títulos e Valores Mobiliários,BR,False
2833202,Instituição 02833202,BR,False
2843443,Instituição 02843443,BR,False
2844024,Instituição 02844024,BR,False
2850075,Instituição 02850075,BR,False
2853045,Instituição 02853045,BR,False
2869663,Instituição 02869663,BR,False
2876918,Instituição 02876918,BR,False
2883398,Instituição 02883398,BR,False
2885855,Instituição 02885855,BR,False
2904125,Instituição 02904125,BR,False
2904138,Instituição 02904138,BR,False
2910387,Instituição 02910387,BR,False
2910987,Instituição 02910987,BR,False
2923389,Instituição 02923389,BR,False
2924977,Instituição 02924977,BR,False
2927433,Instituição 02927433,BR,False
2929977,Instituição 02929977,BR,False
2931166,Instituição 02931166,BR,False
2931668,Instituição 02931668,BR,False
2934201,Instituição 02934201,BR,False
2935307,Instituição 02935307,BR,False
2992317,Intex Bank Banco de Câmbio,BR,False
2992446,Instituição 02992446,BR,False
3000142,Instituição 03000142,BR,False
3012230,Hipercard,BR,True
3014007,Instituição 03014007,BR,False
3015152,Instituição 03015152,BR,False
3017677,Banco J. Safra,BR,True
3033469,Instituição 03033469,BR,False
3042597,Instituição 03042597,BR,False
3046391,Uniprime Central Nacional - Central Nacional de Cooperativa de Credito,BR,False
3047549,Instituição 03047549,BR,False
3058464,Instituição 03058464,BR,False
3065046,Instituição 03065046,BR,False
3102185,Instituição 03102185,BR,False
3128973,Instituição 03128973,BR,False
3130170,Instituição 03130170,BR,False
3139644,Instituição 03139644,BR,False
3165497,Instituição 03165497,BR,False
3183937,Instituição 03183937,BR,False
3212823,Instituição 03212823,BR,False
3215790,Banco Toyota do Brasil,BR,True
3219207,Instituição 03219207,BR,False
3222753,Instituição 03222753,BR,False
3269540,Instituição 03269540,BR,False
3311443,Parati - Credito Financiamento e Investimento,BR,False
3317692,Instituição 03317692,BR,False
3320525,Instituição 03320525,BR,False
3323840,Banco Alfa,BR,True
3326437,Instituição 03326437,BR,False
3329154,Instituição 03329154,BR,False
3358914,Instituição 03358914,BR,False
3384738,Instituição 03384738,BR,False
3400651,Instituição 03400651,BR,False
3412878,Instituição 03412878,BR,False
3419786,Instituição 03419786,BR,False
3422007,Instituição 03422007,BR,False
3427097,Instituição 03427097,BR,False
3428338,Instituição 03428338,BR,False
3443143,Instituição 03443143,BR,False
3459850,Instituição 03459850,BR,False
3461243,Instituição 03461243,BR,False
3485130,Instituição 03485130,BR,False
3502131,Instituição 03502131,BR,False
3502961,Instituição 03502961,BR,False
3502968,Pi Distribuidora de Títulos e Valores Mobiliários,BR,False
3519240,Instituição 03519240,BR,False
3528402,Instituição 03528402,BR,False
3532415,Banco ABN AMRO Clearing,BR,True
3535065,Instituição 03535065,BR,False
3566655,Instituição 03566655,BR,False
3575699,Instituição 03575699,BR,False
3584906,Instituição 03584906,BR,False
3603683,Instituição 03603683,BR,False
3609817,Banco Cargill,BR,True
3612679,Instituição 03612679,BR,False
3612764,Instituição 03612764,BR,False
3620772,Instituição 03620772,BR,False
3632872,Instituição 03632872,BR,False
3634220,Instituição 03634220,BR,False
3634239,Instituição 03634239,BR,False
3635061,Instituição 03635061,BR,False
3639902,Instituição 03639902,BR,False
3645752,Instituição 03645752,BR,False
3657230,Instituição 03657230,BR,False
3662047,Instituição 03662047,BR,False
3674133,Instituição 03674133,BR,False
3685335,Instituição 03685335,BR,False
3732359,Instituição 03732359,BR,False
3750034,Instituição 03750034,BR,False
3751794,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.,BR,False
3793242,Instituição 03793242,BR,False
3795072,Instituição 03795072,BR,False
3816413,Pagueveloz Instituição de Pagamento Ltda.,BR,False
3844699,Cooperativa de Economia e Credito Mutuo dos Trabalhadores Portuarios da Grande Vitoria - Credestiva.,BR,False
3847413,Instituição 03847413,BR,False
3848103,Instituição 03848103,BR,False
3862898,Instituição 03862898,BR,False
3877288,Instituição 03877288,BR,False
3881423,Socinal S.A. - Crédito Financiamento e Investimento,BR,False
3918382,Instituição 03918382,BR,False
3941182,Instituição 03941182,BR,False
3965737,Instituição 03965737,BR,False
3973743,Instituição 03973743,BR,False
3973814,Servicoop - Cooperativa de Crédito dos Servidores Públicos Estaduais e Municipais do Rio Grande do Sul,BR,False
3985375,Instituição 03985375,BR,False
3990888,Instituição 03990888,BR,False
4013172,Instituição 04013172,BR,False
4051232,Instituição 04051232,BR,False
4062902,Oz Corretora de Câmbio,BR,False
4079285,Instituição 04079285,BR,False
4088208,Instituição 04088208,BR,False
