cuenta,descripcion,country,formula
78214,"Despesas de Intermediação Financeira 
(b) = (b1) + (b2) + (b3) + (b4) + (b5)",BR,"Somatório de Despesas de Captação, Despesas de Obrigações por Empréstimos e Repasses, Despesas de Operações de Arrendamento Mercantil, Resultado de Operações de Câmbio e Resultado de Provisão para Créditos de Difícil Liquidação"
78215,"Resultado de Intermediação Financeira 
(c) = (a) + (b)",BR,Somatório de Receitas de Intermediação Financeira e Despesas de Intermediação Financeira
78216,"Rendas de Prestação de Serviços 
(d1)",BR,[71700009]-[71794008]-[71795007]-[71796006]-[71797005]-[71798004]+[71970004]
78217,"Rendas de Tarifas Bancárias 
(d2)",BR,[71794008]+[71795007]+[71796006]+[71797005]+[71798004]
78218,"Despesas de Pessoal 
(d3)",BR,[81718005]+[81727003]+[81730007]+[81733004]+[81736001]+[81737000]+[81990201]
78219,"Despesas Administrativas 
(d4)",BR,[71930006]+[8170006]-[81718005]-[81727003]-[81730007]-[81733004]-[81736001]-[81737000]+[81810006]+[81820003]+[81910009]
78220,"Despesas Tributárias 
(d5)",BR,[81925001]+[81930003]+[81933000]+[81990108]+[81990304]+[81990902]
78221,"Resultado de Participações 
(d6)",BR,[71800002]+[71990802]+[71990905]+[71990709]+[81600003]+[81830804]+[81830907]+[81830701]
78222,"Outras Receitas Operacionais 
(d7)",BR,[71900005]-[71910002]-[71915007]-[71920009]-[71925004]-[71930006]-[71940003]-[71945008]-[71947006]-[71950000]-[71955005]-[71960007]-[71965002]-[71970004]-[71980001]-[71990053]-[71990101][71990125]-[71990156]-[71990204]-[71990266]-[71990307]-[71990352]-[71990400]-[71990503]-[71990606]-[71990709]-[71990802]-[71990905]
78223,"Outras Despesas Operacionais 
(d8)",BR,[81800009]-[81810006]-[81820003]-[81830055]-[81830103]-[81830127]-[81830158]-[81830206]-[81830268]-[81830309]-[81830354]-[81830402]-[81830505]-[81830550]-[81830608]-[81830701]-[81830804]-[81830907]+[81900002]-[81910009]-[81912007]-[81915004]-[81925001]-[81930003]-[81933000]-[81940000]-[81945005]-[81950007] -[81956001]-[81960004]-[81980008]-[81986002]-[81990108]-[81990201]-[81990304]-[81990902]
78224,"Outras Receitas/Despesas  Operacionais 
(d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8)",BR,"Somatório de Rendas de Prestação de Serviços, Rendas de Tarifas Bancárias, Despesas de Pessoal, Despesas Administrativas, Despesas Tributárias, Resultado de Participações, Outras Receitas Operacionais e Outras Despesas Operacionais"
78225,"Resultado Operacional 
(e) = (c) + (d)",BR,Somatório do Resultado de Intermediação Financeira e de Outras Receitas/Despesas Operacionais
78226,"Resultado antes da Tributação, Lucro e Participação 
(g) = (e) + (f)",BR,Somatório do Resultado Operacional e do Resultado Não Operacional
78227,"Resultado Não Operacional 
(f)",BR,[73000006]+[83000003]
78228,"Imposto de Renda e Contribuição Social 
(h)",BR,[89410006]+[89420003]
78229,"Participação nos Lucros 
(i)",BR,[89700008]
78230,"Juros Sobre Capital Social de Cooperativas 
(k)",BR,[81956001]
78231,"Rendas de Aplicações Compulsórias 
(a6)",BR,[71955005]+[71960007]+[71965002]+[71990125]+[81830127]
78282,"Depósitos à Vista 
(a1)",BR,[41100000]
78283,"Depósitos de Poupança 
(a2)",BR,[41200003]
78284,"Depósitos Interfinanceiros 
(a3)",BR,[41300006]
78285,"Depósitos Outros 
(a6)",BR,[41400009]+[41600005]+[41700008]+[41800001]+[41900004]-[41930005]
78286,"Depósitos a Prazo 
(a4)",BR,[41500002]
78287,"Depósito Total 
(a)",BR,[41000007]
78288,"Obrigações por Operações Compromissadas 
(b)",BR,[42000006]
78289,"Letras de Crédito Imobiliário 
(c1)",BR,[43235007]
78290,"Letras de Crédito do Agronegócio 
(c2)",BR,[43240009]
78291,"Letras Financeiras 
(c3)",BR,[43250006]
78292,"Obrigações por Títulos e Valores Mobiliários no Exterior 
(c4)",BR,[43500000]
78293,"Outros Recursos de Aceites e Emissão de Títulos 
(c5)",BR,[43000005] - [43235007] - [43240009] - [43250006] - [43500000]
78294,"Recursos de Aceites e Emissão de Títulos 
(c)",BR,[43000005]
78295,"Obrigações por Empréstimos e Repasses 
(d)",BR,[46000002]
78296,"Instrumentos Derivativos 
(f)",BR,[47000001]
78297,"Outras Obrigações 
(g)",BR,[49000009] + [45000003] + [44000004]
78298,"Passivo Circulante e Exigível a Longo Prazo 
(h) = (e) + (f) + (g)",BR,[40000008]
78299,"Resultados de Exercícios Futuros 
(i)",BR,[50000005]
78300,"Passivo Total 
(j) = (h) + (i)",BR,[40000008] + [60000002] + [70000009]+ [80000006]
