Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;00052072;00084844;b1;2;8;SAO PAULO;SP;03/2026;102.807.723;48.795.286;31.458.862;100.267.350;77.163.485;2.540.373;334.633;2;0
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;00051884;00080996;b1;2;8;BELO HORIZONTE;MG;03/2026;97.024.908;44.329.072;26.852.986;89.693.048;74.911.634;7.331.860;332.661;2;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;MERCADO PAGO IP - PRUDENCIAL;;00084820;n4;3;41;OSASCO;SP;03/2026;95.878.860;19.992.075;1.467.771;92.800.155;51.823.181;3.078.705;-87.228;1;0
SANTANDER SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;00030379;00080185;n1;3;14;SAO PAULO;SP;03/2026;93.381.792;77.587.374;9.300.958;88.373.407;83.075.795;5.008.385;299.565;1;0
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;00051987;00081744;b1;2;8;SAO PAULO;SP;03/2026;90.867.626;51.449.648;18.626.642;83.511.003;73.557.143;7.356.622;441.286;53;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;STONE IP - PRUDENCIAL;;00084686;n4;3;41;SAO PAULO;SP;03/2026;85.506.383;0;30.011.771;82.187.895;31.204.904;3.318.488;999.067;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;00081593;b1;1;8;FORTALEZA;CE;03/2026;75.643.743;18.145.187;44.005.173;59.043.145;22.484.396;16.600.598;488.016;301;1
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;00049944;00080336;b1;2;8;RIO DE JANEIRO;RJ;03/2026;75.544.785;51.343.299;7.387.612;67.179.868;62.856.625;8.364.918;294.759;2;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;SANTANDER - PRUDENCIAL;;00080185;n4;3;41;SAO PAULO;SP;03/2026;74.743.716;0;454.640;71.186.306;248.386;3.557.410;207.198;1;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;PAGSEGURO - PRUDENCIAL;;00084813;n4;2;41;SAO PAULO;SP;03/2026;72.408.301;666.000;5.123.712;66.612.946;45.919.424;5.795.355;231.211;1;0
