Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2026;69.283.221;20.980.129;29.074.934;62.118.251;51.427.562;7.164.970;233.030;8.947.080;15,83%;0,41%;15;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2026;64.644.431;39.703.382;18.300.687;57.461.600;14.847.607;7.182.831;47.537;7.170.368;13,00%;2,54%;115;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2026;58.038.922;48.315.779;366.353;49.252.628;44.499.848;8.786.294;-111.882;5.850.633;12,82%;0,11%;3;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2026;56.389.105;38.503.225;7.480.571;50.726.092;46.097.897;5.663.013;110.640;7.449.507;13,48%;0,87%;19;0
STONE IP - PRUDENCIAL;1000084686;n1;S3;C;3;SAO PAULO;SP;03/2026;52.384.965;2.721.892;42.340;42.078.632;20.685.199;10.306.333;2.184.216;2.823.119;14,37%;NA%;5;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;3;CAMPINAS;SP;03/2026;50.210.591;33.197.599;9.458.679;44.791.280;34.109.181;5.419.311;142.071;3.922.531;14,68%;45,63%;4;291
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2026;49.511.918;22.659.705;15.885.769;45.270.971;40.905.424;4.240.947;147.092;3.580.035;12,10%;32,24%;35;2
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2026;49.055.812;6.481.689;15.670.574;44.371.720;28.928.381;4.684.092;59.703;5.827.888;15,96%;1,34%;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2026;46.801.012;2.251.940;12.439.811;39.578.667;26.588.050;7.222.344;306.574;7.165.827;24,96%;1,74%;3;0
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;03/2026;46.354.749;23.561.966;5.564.763;40.511.676;31.849.550;5.843.072;107.145;4.067.456;16,90%;NA%;7;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2026;40.226.774;23.982.827;3.874.953;37.207.464;31.690.599;3.019.310;273.711;3.267.298;16,03%;31,63%;9;298
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2026;40.070.349;12.346.281;18.931.386;37.630.412;36.170.649;2.439.937;90.703;2.064.542;14,04%;25,51%;88;62
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2026;38.397.107;0;32.177.838;14.991.460;1.695;23.405.646;-1.162;23.405.646;20,60%;1,45%;2;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;03/2026;35.767.304;14.236.725;16.375.881;34.008.150;29.244.802;1.759.154;150.793;2.184.184;13,22%;8,65%;5;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2026;34.328.597;17.226.865;4.344.745;32.055.237;29.565.852;2.273.360;108.728;3.774.608;16,02%;12,66%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;03/2026;32.795.953;16.743.973;9.152.235;31.046.705;28.657.664;1.749.248;122.856;2.728.064;17,30%;0,47%;8;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2026;32.480.657;292.045;17.742.099;25.860.709;7.407.216;6.619.948;211.096;6.548.190;23,26%;0,76%;4;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;C;3;SAO PAULO;SP;03/2026;32.040.992;27.782.074;715.379;23.589.381;22.732.386;8.451.610;316.893;3.821.968;15,42%;0,17%;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2026;31.970.633;153.827;15.008.657;30.188.797;870.983;1.781.836;53.451;926.803;17,75%;10,44%;0;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2026;31.160.390;11.370;16.847.629;25.650.114;9.655.735;5.510.276;291.495;5.302.369;30,67%;0,28%;4;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2026;29.932.467;23.849.020;3.247.956;24.792.283;22.990.581;5.140.184;143.772;5.091.448;19,65%;0,75%;4;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;03/2026;27.332.937;20.218.003;1.345.548;25.129.714;6.076.273;2.203.224;87.686;2.699.767;11,60%;7,65%;5;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2026;26.087.865;23.198.875;1.291;23.378.250;21.569.851;2.709.615;-16.033;3.633.173;15,41%;0,08%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;03/2026;25.376.454;288.614;4.270.199;23.849.669;665.586;1.526.785;46.760;913.725;16,34%;2,74%;0;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;03/2026;24.662.721;814.960;9.496.744;23.716.479;0;946.242;23.218;520.672;13,12%;1,98%;0;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;03/2026;24.391.628;8.090.975;12.843.689;23.013.628;21.788.453;1.378.000;76.160;1.209.036;11,49%;17,95%;2;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;03/2026;22.661.301;17.914.604;936.577;19.390.234;4.445.321;3.271.067;130.447;2.918.546;15,13%;5,81%;2;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2026;21.181.690;9.761.144;3.594.889;16.998.138;14.926.651;4.183.552;60.446;4.148.120;26,02%;0,25%;2;0
CLOUDWALK IP - PRUDENCIAL;1000086581;n1;S4;C;2;SAO PAULO;SP;03/2026;20.842.563;520.919;926.456;3.295.522;2.087.367;17.547.041;273.336;2.022.558;31,14%;NA%;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2026;20.568.512;19.015.765;307.508;18.147.286;17.298.407;2.421.226;29.240;2.413.159;13,07%;0,46%;4;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2026;20.479.137;11.771.429;5.955.432;18.521.656;16.364.507;1.957.481;59.547;2.842.857;13,53%;1,59%;15;1
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;03/2026;19.964.427;3.581.439;4.045.284;16.920.352;13.463.380;3.044.075;71.791;3.043.195;19,04%;0,72%;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;03/2026;19.510.051;15.176.409;1.386.443;17.285.863;16.287.928;2.224.188;44.286;2.217.781;16,82%;5,81%;165;34
HONDA - PRUDENCIAL;1000080611;b2;S3;C;3;SAO PAULO;SP;03/2026;18.886.605;10.709.967;4.065.501;12.112.278;8.504.781;6.774.327;103.499;3.078.396;19,52%;0,45%;5;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;03/2026;18.485.899;9.013.443;2.848.880;14.894.124;13.030.629;3.591.775;58.638;3.504.201;28,92%;3,56%;0;127
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;03/2026;18.113.759;2.164.200;4.530.963;14.912.593;13.731.097;3.201.166;90.031;3.118.938;29,55%;1,13%;4;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;03/2026;17.968.980;0;6.394.661;17.080.608;781.843;888.372;32.687;549.738;18,89%;1,61%;0;0
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;03/2026;17.856.202;7.755.445;8.366.531;16.707.057;15.350.286;1.149.145;38.657;1.515.188;17,31%;8,40%;26;0
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;03/2026;17.796.305;156.875;16.186.222;17.219.131;15.878.034;577.174;-5.257;1.295.176;22,44%;1,64%;2;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S3;I;2;FRANCISCO BELTRAO;PR;03/2026;17.765.649;94.876;3.645.004;17.014.329;10.763.982;751.320;26.417;751.293;15,17%;21,90%;0;0
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2026;17.493.970;3.252.686;1.831.577;12.652.116;4.197.946;4.841.854;-53.558;4.282.978;36,82%;4,54%;13;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2026;16.773.226;13.184.881;69.867;13.911.859;11.849.454;2.861.367;216.626;2.781.743;19,63%;1,14%;3;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2026;16.666.711;8.525.611;660.328;12.988.850;11.979.348;3.677.861;191.960;3.677.861;34,64%;1,29%;0;117
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2026;16.438.805;3.631.065;4.071.292;14.815.150;13.582.811;1.623.655;2.630;1.586.856;25,86%;0,98%;2;0
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;03/2026;16.312.599;14.863.635;15.460;12.225.154;11.729.651;4.087.445;99.445;4.076.427;24,42%;7,71%;3;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S3;I;2;SAO PAULO;SP;03/2026;16.143.094;0;9.466.695;15.424.494;102;718.599;22.356;382.725;23,09%;9,94%;0;1
MIZUHO - PRUDENCIAL;1000080697;b1;S3;I;3;SAO PAULO;SP;03/2026;15.695.361;3.427.092;5.888.558;14.380.256;13.036.997;1.315.105;21.575;1.287.532;20,04%;0,26%;2;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;03/2026;15.263.580;4.899.247;4.639.556;13.717.073;11.565.174;1.546.507;7.284;1.994.372;22,82%;1,63%;2;0
